,tweets_VBN
170,Retweeted Olhar Digital (@olhardigital):  Empresa usa mosquito geneticamente modificado para combater Zika vírus:... https://t.co/LloPBcVZ1o
171,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/HMuY3vstVe via @UOLNoticias @UOL
172,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/QLQTdkm3K3
173,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/FTJX2WEUa1 https://t.co/d7RSwEPDFQ
174,Cai a verba federal de combate ao mosquito da dengue e zika. https://t.co/7aylqD0Vr0
175,Cai a verba  federal de combate ao mosquito da dengue e zika https://t.co/7aylqD0Vr0
176,"fui me coçar e tinha outro mosquito me picando, ai fica a duvida: n basta zica ainda querem dengue? olha n da"
177,"Conscientize estudantes para combater o mosquito transmissor da dengue, zika e chikungunya! https://t.co/usY78Ub9tZ https://t.co/vHx4e1t0h0"
178,"Com a chegada do verão americano, o mosquito do zika vai fazer a festa por lá?"
179,"Com a importante colaboração da população, vamos intensificar as ações na luta contra o mosquito transmissor da dengue, chikungunya e o zica"
180,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgA3u1 https://t.co/LkFllgccte
181,Então a Dilma criou o mosquito Zika? Pqp em...
182,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/cqDwymWIKj
183,ql a lógica do nme ser zika vírus dve q foi tipo o bb saiu bugado aí os cara foi e falo nossa esse mosquito é zika msm vai chama zika vírus
184,"'Só a Jessyka não pegou zika. A bicha é tão ruim que eu acho que foi ela que passou zika pra o primeiro mosquito.' VÓ, Minha."
185,"Se a solução para a Zika é vacinar,também é bom começar a estudar a colocação de redomas futuristas sobre as cidades para evitar o mosquito."
186,'Combate ao VÍRUS do MOSQUITO ZIKA'!!!!!!!!!!  https://t.co/y1PmhXn7cR
187,gente a zica não é só do mosquito não porque essa zica que eu tô no cartola não é normal!!!!
188,"segundo a filosofa ti Dri se um mosquito picar ela, certamente ele ja deve ta com zika, pq a vida dela ta tão zikada q quem pega zika é ele"
189,"Cheguei a conclusão de que todos os mosquitos são zika, porque eles tão me zoando de uma maneira 👌"
190,"Graças a Deus melhorei dessa dengue, agr é só ficar atividade nesses mosquitos zika du krl kk"
191,"Esqueci a janela do quarto aberta, fui picada por uns 492843 mosquitos. Tenho certeza que já to com dengue, zika e chikungunya"
192,e a quantidade de mosquito é impressionante ainda bem que meus anti corpos sao muito bons senao eu ja tava com zika dengue e as porra tudo
193,Retweeted José Simão (@jose_simao):  Zika! Triplex do mosquito! https://t.co/HalgPwE0es https://t.co/BRCcRcV7Hu
194,👉 A websérie 'Que Zika!' mostra cuidados de gestantes para se proteger do Aedes. Confira: https://t.co/AqIB6lLDwx #ZikaZero #CombateAedes
195,"Se a minha zica viesse do mosquito, eu tava feito. PQP."
196,"E a Zika, hein? 220 mil homens do exército contra o mosquito Aedes Egypti. Os canhões não matam o bicho. Mas o governo faz marketing. Arghh!"
197,"Com a Wanheda no Brasil fico até tranquila pq ela vai exterminar Dengue, Zika e Chikungunya O que é um mosquito pra quem matou geral né non?"
198,"Com a proliferação dos mosquitos, depois da dengue, da chikungunya e da zika, só falta agora um surto de febre amarela. Já há caso suspeito."
199,Como a gestante deve se proteger do Zika Vírus? https://t.co/whMZPlcB1U
200,Como a gestante deve se proteger do Zika Vírus? - https://t.co/J4qSHvVS5F Via @_hypenews #Saúde
201,Com a skin do mosquitão zika eu não saio dos mil de score...bem triste mesmo uduhasdhsau https://t.co/KHkqg3tZcx
202,Pow a mulher flw que ta tendo mais mosquito da zica do que pernilingo o cu dela porq ela ainda não veio em jardim Marilândia
